,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,custom_spoiler,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,trip
0,23675577,1.0,1.0,10/24/15(Sat)16:57:43,Anonymous,Welcome to /r9k/,"/r9k/ is an imageboard where there are no exact reposts.<br><br>

1. If you attempt to post something unoriginal, it is not posted, and you are muted temporarily.<br>
2. The time with which you are muted for doubles with each transgression.<br>
3. Each mute time is 2^n in seconds where n is the number of times you have transgressed. So, 
your mute time doubles each time you fuck up.<br>
4. Backlinks, eg <span class=""deadlink"">&gt;&gt;1</span>, are not viewed by the robot. So &quot;lolwut&quot; and &quot;<span class=""deadlink"">&gt;&gt;2</span> lolwut&quot; are the same post, in the 
eyes of the robot.<br>
5. Gibberish at the end of a post to force originality may result in mod intervention (no BLOX posts please).<br>
6. Images are <b>NOT</b> included in the filter, only text. <br>
7. Your mute count slowly decreases over time.<br>
8. You cannot post a picture without text.<br>
9. Unicode is blocked. Sorry, too many exploits (Cyrillic letters, etc).<br>
10. Posts require a certain minimum amount of original content in order to be posted.<br>
11. Post sane, real content, well thought out replies, and mutes are unlikely.<br>
12. The original algorithm was designed by XKCD:<br>
<a href=""http://blag.xkcd.com/2008/01/14/robot9000-and-xkcd-signal-attacking-noise-in-chat/"">http://blag.xkcd.com/2008/01/14/rob<wbr>ot9000-and-xkcd-signal-attacking-no<wbr>ise-in-chat/</a>",robot overlord,.png,1024,1265,202,250,1445720263676,1445720263,E7i9zSWi9necbU0oXhs9eA==,1295348,0,mod,welcome-to-r9k,0,1,0,"[{'no': 50136909, 'now': '12/30/18(Sun)10:56:52', 'name': 'Anonymous', 'com': '/r9k/ has no topic, but unlike /b/ <a href=""https://www.4chan.org/rules#global3"">Global Rule #3</a> is in effect. In addition, advice threads and camwhoring/hookup/&quot;rate me&quot; threads should go on <a href=""https://boards.4chan.org/adv/"">/adv/ - Advice</a> and <a href=""https://boards.4chan.org/soc/"">/soc/ - Cams &amp; Meetups</a> respectively. <b>This includes Discord server threads!</b>', 'time': 1546185412, 'resto': 23675577, 'capcode': 'mod'}]",1546185419,,,,,
1,37842102,1.0,1.0,06/20/17(Tue)09:17:43,Anonymous,,"<span style=""font-size:20px;font-weight:600;line-height:120%;"">Do not post pictures of yourself on /r9k/.<br>Do not post threads asking for pictures of other users.<br>
<br>
All &quot;rate me&quot; and camwhoring threads belong on /soc/.<br>
<br>
<a href=""https://boards.4chan.org/soc/""><a href=""/soc/"" class=""quotelink"">&gt;&gt;&gt;/soc/</a></a></span>",1125px-No_selfies.svg[1],.png,1125,1024,250,227,1497964663055,1497964663,2ioEPaxeq+G12hmNCLVvxQ==,65729,0,mod,do-not-post-pictures-of-yourself-on-r9k,0,0,0,,1497964670,,,,,
2,71379367,,,12/13/22(Tue)02:55:05,Anonymous,,"<span class=""quote"">&gt;Present Day, heh... Present Time! Hahahahahahaha!</span><br><br>What does this mean?",1670779389702519,.jpg,1280,1832,174,250,1670918105571231,1670918105,O03zb7VPTdWdxQ43uol2Ww==,432554,0,,present-day-heh-present-time-hahahahahahaha,0,24,6,"[{'no': 71380901, 'now': '12/13/22(Tue)06:39:35', 'name': 'Anonymous', 'com': '<a href=""#p71380875"" class=""quotelink"">&gt;&gt;71380875</a><br>Fuck off newfag, why don&#039;t you print your wojaks and shove them up your ass?', 'time': 1670931575, 'resto': 71379367}, {'no': 71380940, 'now': '12/13/22(Tue)06:45:59', 'name': 'Anonymous', 'com': '<a href=""#p71380844"" class=""quotelink"">&gt;&gt;71380844</a><br><span class=""quote"">&gt;This board is actually fucking dead.</span><br><span class=""quote"">&gt;A walking corpse.</span><br>Yup. The culture of this website and imageboards as communication mediums have passed on. The minority of posters remaining who remember and embody knowledge of the older culture are an extreme minority; the few, ironic and lulzy remnants of a by-gone era amidst an ocean of cringe, sincerity, and fail. You could probably write a paper on hauntology and nostalgia on the subject', 'time': 1670931959, 'resto': 71379367}, {'no': 71380959, 'now': '12/13/22(Tue)06:48:33', 'name': 'Anonymous', 'com': '<a href=""#p71380901"" class=""quotelink"">&gt;&gt;71380901</a><br><span class=""quote"">&gt;he&#039;s having a meltdown because one person doesn&#039;t like an overrated shit anime he likes</span>', 'filename': '4 laugh', 'ext': '.png', 'w': 566, 'h': 227, 'tn_w': 124, 'tn_h': 50, 'tim': 1670932113054378, 'time': 1670932113, 'md5': 'LCIYW54XjkZWV0AFfbMb3w==', 'fsize': 164150, 'resto': 71379367}, {'no': 71381132, 'now': '12/13/22(Tue)07:13:55', 'name': 'Anonymous', 'com': '<a href=""#p71379367"" class=""quotelink"">&gt;&gt;71379367</a><br>I didn&#039;t understand Lain after episode 4, shit got way too confusing. So now I watch it while I&#039;m high.', 'time': 1670933635, 'resto': 71379367}, {'no': 71381143, 'now': '12/13/22(Tue)07:15:23', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;comic LO</span><br>hehehe', 'time': 1670933723, 'resto': 71379367}]",1670933723,0.0,0.0,19.0,5.0,
3,71381067,,,12/13/22(Tue)07:04:22,Anonymous,,14cmbros... how can we compete,_20221213_130241~2,.png,1080,888,250,205,1670933062497994,1670933062,PpA1yrhJmeHAKFpYWERbDA==,109002,0,,14cmbros-how-can-we-compete,0,1,0,"[{'no': 71381142, 'now': '12/13/22(Tue)07:15:22', 'name': 'Anonymous', 'com': 'my wienie was 21 cm and my friend insisted it would stop growing. it&#039;s ok i don&#039;t like women though.', 'time': 1670933722, 'resto': 71381067}]",1670933722,0.0,0.0,,,
4,71378551,,,12/13/22(Tue)01:09:29,Anonymous,/britfeel/,Another fresh start,s236272,.webm,888,500,250,140,1670911769470127,1670911769,ZWoaYPN6cz6nGkwm/1dOGQ==,2915348,0,,britfeel,0,140,29,"[{'no': 71381120, 'now': '12/13/22(Tue)07:12:20', 'name': 'Anonymous', 'com': '<a href=""#p71381106"" class=""quotelink"">&gt;&gt;71381106</a><br>Bad plan. You don&#039;t &#039;win&#039; versus the police. Every law is so interpretable and so discretionary, as is the enforcement of it, that they can nab you on anything; loitering (with intent), harassment and public disorder come to mind as things they could charge you with and no judge is going to side against them. Unless you have some heavily protected characteristic then the police will just shit on you.', 'time': 1670933540, 'resto': 71378551}, {'no': 71381128, 'now': '12/13/22(Tue)07:13:16', 'name': 'Anonymous', 'com': '<a href=""#p71381086"" class=""quotelink"">&gt;&gt;71381086</a><br>Its in a town I dont normally go to so I should have asked how much for the girl at the tills', 'time': 1670933596, 'resto': 71378551}, {'no': 71381135, 'now': '12/13/22(Tue)07:14:19', 'name': 'Anonymous', 'com': '<a href=""#p71381120"" class=""quotelink"">&gt;&gt;71381120</a><br>My favourite is the communication law <br>That is so ambiguous and bullshit', 'time': 1670933659, 'resto': 71378551}, {'no': 71381136, 'now': '12/13/22(Tue)07:14:28', 'name': 'Anonymous', 'com': 'I love how easy it is to wind people up with the auditing stuff here. Most of the time I dont even watch the videos I post. Whats really funny is I keep dropping hints that people shouldn&#039;t engage with auditors and they&#039;ll get bored yet seethers can&#039;t help themselves replying', 'time': 1670933668, 'resto': 71378551}, {'no': 71381141, 'now': '12/13/22(Tue)07:15:11', 'name': 'Anonymous', 'com': '<a href=""#p71381136"" class=""quotelink"">&gt;&gt;71381136</a><br>I keep telling people to just ignore your drivel mate but they never listen <br>Keep up the good drivel king x', 'filename': '3BEAF28D-BFDA-4845-A8EE-ADDE96EE924F', 'ext': '.jpg', 'w': 1170, 'h': 1423, 'tn_w': 102, 'tn_h': 125, 'tim': 1670933711641084, 'time': 1670933711, 'md5': 'O01BAhEDM/ajigGtAReRLw==', 'fsize': 202159, 'resto': 71378551}]",1670933711,0.0,0.0,135.0,28.0,
5,71378753,,,12/13/22(Tue)01:33:30,Anonymous,,"<span class=""quote"">&gt; be me</span><br><span class=""quote"">&gt; got qt3.14 gf</span><br><span class=""quote"">&gt; be insecure because feel like she is way out of my league </span><br><span class=""quote"">&gt; she was attracted to me because I am extroverted and act confident, and she is very introverted</span><br><span class=""quote"">&gt; she is becoming more confident which I like but also gaining lot of male friends</span><br><span class=""quote"">&gt; one of her close friends is 6&#039;5 gymbro who doesn&#039;t like me</span><br><span class=""quote"">&gt; am I going to get cucked</span><br><span class=""quote"">&gt; what do</span>",fatty-wand,.gif,498,300,250,150,1670913210850445,1670913210,PvZUKIeoCNaDaysLzBu0NQ==,929487,0,,be-me,0,5,1,"[{'no': 71379022, 'now': '12/13/22(Tue)02:09:39', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;&gt;one of her close friends is 6&#039;5 gymbro who doesn&#039;t like me </span><br>Don&#039;t stay on defence op. Beat the shit out of him in front of her.', 'time': 1670915379, 'resto': 71378753}, {'no': 71379823, 'now': '12/13/22(Tue)03:59:56', 'name': 'Anonymous', 'com': '<a href=""#p71379022"" class=""quotelink"">&gt;&gt;71379022</a><br>I will get the shit beat of me fren', 'time': 1670921996, 'resto': 71378753}, {'no': 71380112, 'now': '12/13/22(Tue)04:44:14', 'name': 'Anonymous', 'com': 'Fuck her one last time then break up... She&#039;s probably already cheating on you.. if you cheat first however you one-upped her!<br><br>But yea bro just break up it&#039;s best if you do it before you learn anything... Or don&#039;t!', 'filename': 'static-assets-upload12276978087245383109', 'ext': '.png', 'w': 755, 'h': 807, 'tn_w': 116, 'tn_h': 124, 'tim': 1670924654356859, 'time': 1670924654, 'md5': 'nfdLDqzMVo6yPHukUjb+aw==', 'fsize': 451209, 'resto': 71378753}, {'no': 71380538, 'now': '12/13/22(Tue)05:49:28', 'name': 'Anonymous', 'com': '<a href=""#p71380112"" class=""quotelink"">&gt;&gt;71380112</a><br>but i dont want to anon i really like her. i don&#039;t think she will cheat but i also know if we ever break up she has a very attractive man as an option', 'time': 1670928568, 'resto': 71378753}, {'no': 71381140, 'now': '12/13/22(Tue)07:14:48', 'name': 'Anonymous', 'com': 'Do nothing, hope for the best', 'time': 1670933688, 'resto': 71378753}]",1670933688,0.0,0.0,,,
6,71380421,,,12/13/22(Tue)05:32:46,Anonymous,,"I cracked and bought this, how over is it robros",IMG_1332,.jpg,4032,3024,250,187,1670927566829324,1670927566,N7otOchFw1B2aoce3JnjZQ==,2880956,0,,i-cracked-and-bought-this-how-over-is-it-robros,0,32,6,"[{'no': 71381105, 'now': '12/13/22(Tue)07:09:55', 'name': 'Anonymous', 'com': '<a href=""#p71381092"" class=""quotelink"">&gt;&gt;71381092</a><br>I do not dictate, I just desire it.', 'time': 1670933395, 'resto': 71380421}, {'no': 71381111, 'now': '12/13/22(Tue)07:10:56', 'name': 'Anonymous', 'com': '<a href=""#p71381095"" class=""quotelink"">&gt;&gt;71381095</a><br>I tried to comb but some of the hair is tangled/in a knot so idk how to comb it down aaaaaa', 'time': 1670933456, 'resto': 71380421}, {'no': 71381119, 'now': '12/13/22(Tue)07:11:40', 'name': 'Anonymous', 'com': '<a href=""#p71381111"" class=""quotelink"">&gt;&gt;71381111</a><br>Can you explain why you do this?', 'time': 1670933500, 'resto': 71380421}, {'no': 71381129, 'now': '12/13/22(Tue)07:13:16', 'name': 'Anonymous', 'com': '<a href=""#p71381080"" class=""quotelink"">&gt;&gt;71381080</a><br><span class=""quote"">&gt;how do i become your wife??</span><br>Well, we&#039;d need to move in together, you&#039;d wear girl clothes most of the time (if you don&#039;t we&#039;ll be both boys and that would be gay, and gay is a no-no), I&#039;d try to inseminate you whenever you desired and we&#039;d live a happy life together.', 'filename': 'e7df470312b295a5d31543eb047d0f13', 'ext': '.png', 'w': 600, 'h': 800, 'tn_w': 93, 'tn_h': 125, 'tim': 1670933596616017, 'time': 1670933596, 'md5': '599HAxKylaXTFUPrBH0PEw==', 'fsize': 606416, 'resto': 71380421}, {'no': 71381139, 'now': '12/13/22(Tue)07:14:40', 'name': 'Anonymous', 'com': '<a href=""#p71381129"" class=""quotelink"">&gt;&gt;71381129</a><br>You know that&#039;s still gay?', 'time': 1670933680, 'resto': 71380421}]",1670933680,0.0,0.0,27.0,5.0,
7,71381076,,,12/13/22(Tue)07:05:10,Anonymous,,"I&#039;m tired of seeing trannies online. I&#039;m tired of seeing the cute ones who have the courage to do what I can&#039;t and live their dreams. I&#039;m tired of seeing the ugly ones who show the future that awaits me if I tried. Every day of my life I fantasize about transitioning and doing everything I can to be as feminine and pretty as possible. Every day I wish I could pass as a woman. I&#039;m tired of feeling these things. I&#039;m tired of being sad at my life every day, I&#039;m tired of seeing women every single day and being envious of them, and trannies online too. I can&#039;t bring myself to transition, but I can&#039;t bring myself to commit suicide either. Every day I know that I will never be a woman, and the pain of that is unbearable.<br><br>If you actually read this far, please find a way to convince me to just kill myself already. I&#039;m not going to accept myself as a man because I already have and that&#039;s why I&#039;m in pain. And before someone wants to convince me to transition, I&#039;m 6&#039;2. There&#039;s no point.",1396840485538,.jpg,763,1163,164,250,1670933110997943,1670933110,8Xg1zjiX/2lGsKtacAXbZQ==,736421,0,,im-tired-of-seeing-trannies-online-im-tired-of,0,3,0,"[{'no': 71381089, 'now': '12/13/22(Tue)07:07:49', 'name': 'Anonymous', 'com': 'If you don&#039;t enjoy life then end it. it&#039;s that simple.', 'time': 1670933269, 'resto': 71381076}, {'no': 71381124, 'now': '12/13/22(Tue)07:12:51', 'name': 'Anonymous', 'com': '<a href=""#p71381089"" class=""quotelink"">&gt;&gt;71381089</a><br>Great advice anon, thanks for sharing.', 'time': 1670933571, 'resto': 71381076}, {'no': 71381138, 'now': '12/13/22(Tue)07:14:36', 'name': 'Anonymous', 'com': '<a href=""#p71381076"" class=""quotelink"">&gt;&gt;71381076</a><br>There is no happy path here sadly. Most &quot;passer&quot; are unhappy as you are now. There is no happiness in gender dysphoria. Just got to pick your cope', 'time': 1670933676, 'resto': 71381076}]",1670933676,0.0,0.0,,,
8,71380084,,,12/13/22(Tue)04:41:02,Anonymous,,Currently facing a Slop Dilemma. KFC or Subway for lunch tomorrow? What would you choose and why?,kfc subway,.jpg,1280,720,250,140,1670924462462335,1670924462,Te2qtPemRRPhxQR7ozGzxw==,164077,0,,currently-facing-a-slop-dilemma-kfc-or-subway-for,0,5,0,"[{'no': 71380097, 'now': '12/13/22(Tue)04:42:15', 'name': 'Anonymous', 'com': '<a href=""#p71380084"" class=""quotelink"">&gt;&gt;71380084</a><br>Subway. Both are shit but KFC is the epitome of zogchow', 'time': 1670924535, 'resto': 71380084}, {'no': 71380104, 'now': '12/13/22(Tue)04:43:04', 'name': 'Anonymous', 'com': 'Subway because it has fiber and actual vegetables.<br>KFC, all the food there is literally water + powder mixed in a tub. the chicken is the only whole, non processed thing.', 'time': 1670924584, 'resto': 71380084}, {'no': 71380182, 'now': '12/13/22(Tue)04:54:25', 'name': 'Anonymous', 'com': '<a href=""#p71380084"" class=""quotelink"">&gt;&gt;71380084</a><br>Subway because you can split it into two meals. Even four with the right coupons. Way better for the price, but KFC has some BANGIN Nashville hot tenders that go great with mashed potatoes and biscuits. They kinda got stingy with the sauce though but still yummy if you can find em.', 'time': 1670925265, 'resto': 71380084}, {'no': 71381068, 'now': '12/13/22(Tue)07:04:31', 'name': 'Anonymous', 'com': '<a href=""#p71380182"" class=""quotelink"">&gt;&gt;71380182</a><br><span class=""quote"">&gt;because you can split it into two meals</span><br>Not all of us are 5&#039;4&quot; skeletons, anon. Some of us are actually man enough to need the full 12&quot; sub to get through the day.', 'time': 1670933071, 'resto': 71380084}, {'no': 71381137, 'now': '12/13/22(Tue)07:14:28', 'name': 'Anonymous', 'com': '<a href=""#p71380084"" class=""quotelink"">&gt;&gt;71380084</a><br>Subway is kind of expensive now. I don&#039;t really mind that the bread got thinner, but Italian BMTs used to be a pretty good deal and now they&#039;re like ten bucks. I usually get them toasted with provolone, onion lettuce, tomato, banana peppers, oil, vinegar, and oregano.', 'time': 1670933668, 'resto': 71380084}]",1670933668,0.0,0.0,,,
9,71381069,,,12/13/22(Tue)07:04:31,Anonymous,,"Did you prefer the girl(s) who bullied you in HS, or the quiet girl who sat in the back of the class?<br>For me, both.",dailygrande,.gif,268,350,191,250,1670933071565026,1670933071,gDBAFGp+GgGjVy4ZiF+4XA==,3049527,0,,did-you-prefer-the-girls-who-bullied-you-in-hs-or,0,1,0,"[{'no': 71381134, 'now': '12/13/22(Tue)07:14:11', 'name': 'Anonymous', 'com': '<a href=""#p71381069"" class=""quotelink"">&gt;&gt;71381069</a><br>Real. Both', 'time': 1670933651, 'resto': 71381069}]",1670933651,0.0,0.0,,,
